DATE;IBOV;DY_IBOV;SELIC
43306;80218,04;3.82;6.4
43307;79405,34;3.83;6.4
43308;79866,1;3.78;6.4
43311;80275,59;3.73;6.4
43312;79220,43;3.81;6.4
43313;79301,65;3.85;6.4
43314;79636,69;3.80;6.4
43315;81434,98;3.73;6.4
43318;81050,76;3.75;6.4
43319;80346,52;3.78;6.4
43320;79151,7;3.84;6.4
43321;78767,99;3.86;6.4
43322;76514,35;3.97;6.4
43325;77496,45;3.93;6.4
43326;78602,11;3.90;6.4
43327;77077,99;3.98;6.4
43328;76818,72;4.01;6.4
43329;76028,5;4.09;6.4
43332;76327,89;0.41;6.4
43333;75180,4;#VALUE!;6.4
43334;76902,3;4.05;6.4
43335;75633,77;4.11;6.4
43336;76262,23;4.08;6.4
43339;77929,68;3.97;6.4
43340;77473,18;4.00;6.4
43341;78388,83;3.96;6.4
43342;76404,09;4.06;6.4
43343;76677,53;4.04;6.4
43346;76192,73;4.03;6.4
43347;74711,8;4.11;6.4
43348;75092,27;4.09;6.4
43349;76416,01;#VALUE!;6.4
43353;76436,35;4.09;6.4
43354;74656,51;4.18;6.4
43355;75124,81;4.16;6.4
43356;74686,67;4.18;6.4
43357;75429,09;4.14;6.4
43360;76788,85;4.07;6.4
43361;78313,96;4.00;6.4
43362;78168,66;0.00;6.4
43363;78116,01;4.00;6.4
43364;79444,29;3.94;6.4
43367;77984,18;4.01;6.4
43368;78630,14;3.99;6.4
43369;78656,16;3.99;6.4
43370;80000,09;3.92;6.4
43371;79342,42;3.95;6.4
43374;78623,66;3.98;6.4
43375;81612,28;3.83;6.4
43376;83273,4;3.75;6.4
43377;82952,81;3.76;6.4
43378;82321,52;3.79;6.4
43381;86083,91;3.62;6.4
43382;86087,55;3.63;6.4
43383;83679,11;3.73;6.4
43384;82921,08;3.77;6.4
43388;83359,76;3.74;6.4
43389;85717,56;3.64;6.4
43390;85763,95;3.64;6.4
43391;83847,12;3.73;6.4
43392;84219,74;3.71;6.4
43395;85596,69;0.36;6.4
43396;85300,03;0.36;6.4
43397;83063,56;0.38;6.4
43398;84083,51;3.74;6.4
43399;85719,87;3.67;6.4
43402;83796,71;3.74;6.4
43403;86885,71;3.60;6.4
43404;87423,55;3.58;6.4
43405;88419,05;3.55;6.4
43409;89598,16;3.50;6.4
43410;88668,92;3.53;6.4
43411;87714,35;3.57;6.4
43412;85620,13;3.67;6.4
43413;85641,21;3.67;6.4
43416;85524,7;3.67;6.4
43417;84914,11;3.70;6.4
43418;85973,06;3.64;6.4
43420;88515,27;3.54;6.4
43423;87900,83;3.54;6.4
43425;87268,8;3.88;6.4
43426;87477,44;3.89;6.4
43427;86230,22;3.98;6.4
43430;85546,51;3.98;6.4
43431;87891,18;3.86;6.4
43432;89250,82;3.84;6.4
